"年月","公共交通分类","公共交通营办商类别","专营权类别","过海乘客人次","过海乘客人次注"
"201804","Ferries","NWFF","",182.18,""
"201804","Ferries","STF","",1647.779,""
"201804","Ferries","LFS","",89.852,""
"201805","Fran_Bus","KMB","",9004.85,""
"201805","Fran_Bus","CTB","1",4328.904,""
"201805","Fran_Bus","CTB","2",492.734,""
"201805","Fran_Bus","NWFB","",4879.879,""
"201805","Railways","MTRC","",37042.84,""
"201805","Ferries","NWFF","",186.11,""
"201805","Ferries","STF","",1453.386,""
"201805","Ferries","LFS","",91.129,""
"201806","Fran_Bus","KMB","",8584.282,""
"201806","Fran_Bus","CTB","1",4131.577,""
"201806","Fran_Bus","CTB","2",475.809,""
"201806","Fran_Bus","NWFB","",4653.167,""
"201806","Railways","MTRC","",35885.321,""
"201806","Ferries","NWFF","",168.782,""
"201806","Ferries","STF","",1370.861,""
"201806","Ferries","LFS","",80.919,""
"201807","Ferries","LFS","",83.622,""
"201807","Ferries","STF","",1641.873,""
"201807","Ferries","NWFF","",169.672,""
"201807","Railways","MTRC","",37821.755,""
"201807","Fran_Bus","NWFB","",4956.534,""
"201807","Fran_Bus","CTB","2",491.495,""
"201807","Fran_Bus","KMB","",9135.186,""
"201807","Fran_Bus","CTB","1",4486.683,""
"201808","Fran_Bus","KMB","",9211.588,""
"201808","Fran_Bus","CTB","1",4554.093,""
"201808","Fran_Bus","CTB","2",495.43,""
"201808","Fran_Bus","NWFB","",5021.828,""
"201808","Railways","MTRC","",38795.03,""
"201808","Ferries","NWFF","",170.781,""
"201808","Ferries","STF","",1759.689,""
"201808","Ferries","LFS","",89.63,""
"201809","Fran_Bus","KMB","",8258.497,""
"201809","Fran_Bus","CTB","1",3990.547,""
"201809","Fran_Bus","CTB","2",431.324,""
"201809","Ferries","LFS","",79.029,""
"201809","Railways","MTRC","",35417.234,""
"201809","Ferries","NWFF","",139.296,""
"201809","Ferries","STF","",1269.601,""
"201809","Fran_Bus","NWFB","",4551.736,""
"201810","Ferries","STF","",1821.343,""
"201810","Ferries","NWFF","",188.632,""
"201810","Railways","MTRC","",38687.239,""
"201810","Fran_Bus","NWFB","",5194.638,""
"201810","Fran_Bus","CTB","2",520.923,""
"201810","Fran_Bus","CTB","1",4543.155,""
"201810","Fran_Bus","KMB","",9360.11,""
"201810","Ferries","LFS","",104.473,""
"201811","Fran_Bus","KMB","",9278.667,""
"201811","Fran_Bus","CTB","1",4451.134,""
"201811","Fran_Bus","CTB","2",560.615,""
"201811","Fran_Bus","NWFB","",5076.01,""
"201811","Railways","MTRC","",39104.214,""
"201811","Ferries","NWFF","",184.025,""
"201811","Ferries","STF","",1692.597,""
"201811","Ferries","LFS","",97.34,""
"201812","Fran_Bus","KMB","",9426.327,""
"201812","Fran_Bus","CTB","1",4542.832,""
"201812","Fran_Bus","CTB","2",600.26,""
"201812","Ferries","LFS","",92.387,""
"201812","Railways","MTRC","",38869.254,""
"201812","Ferries","NWFF","",179.867,""
"201812","Ferries","STF","",2093.065,""
"201812","Fran_Bus","NWFB","",5036.016,""
"201901","Fran_Bus","KMB","",9648.937,""
"201901","Fran_Bus","CTB","1",4664.788,""
"201901","Ferries","LFS","",101.287,""
"201901","Ferries","STF","",1819.214,""
"201901","Ferries","NWFF","",188.581,""
"201901","Railways","MTRC","",39439.738,""
"201901","Fran_Bus","NWFB","",5307.472,""
"201901","Fran_Bus","CTB","2",566.289,""
"201902","Fran_Bus","KMB","",8248.797,""
"201902","Ferries","STF","",1867.504,""
"201902","Ferries","NWFF","",161.711,""
"201902","Railways","MTRC","",33634.464,""
"201902","Fran_Bus","NWFB","",4526.442,""
"201902","Fran_Bus","CTB","2",551.881,""
"201902","Fran_Bus","CTB","1",4067.677,""
"201902","Ferries","LFS","",82.551,""
"201903","Fran_Bus","KMB","",9579.261,""
"201903","Fran_Bus","CTB","1",4623.446,""
"201903","Fran_Bus","CTB","2",556.632,""
"201903","Fran_Bus","NWFB","",5210.953,""
"201903","Railways","MTRC","",38123.057,""
"201903","Ferries","NWFF","",185.967,""
"201903","Ferries","STF","",1713.811,""
"201903","Ferries","LFS","",97.59,""
"201904","Ferries","STF","",1587.385,""
"201904","Ferries","NWFF","",165.454,""
"201904","Railways","MTRC","",34803.305,""
"201904","Fran_Bus","NWFB","",4790.772,""
"201904","Fran_Bus","CTB","2",572.818,""
"201904","Fran_Bus","CTB","1",4293.782,""
"201904","Fran_Bus","KMB","",8697.837,""
"201904","Ferries","LFS","",92.156,""
"201905","Fran_Bus","KMB","",9203.1,""
"201905","Fran_Bus","CTB","1",4474.95,""
"201905","Fran_Bus","CTB","2",592.77,""
"201905","Fran_Bus","NWFB","",4995.414,""
"201905","Railways","MTRC","",37490.466,""
"201905","Ferries","LFS","",96.621,""
"201905","Ferries","STF","",1559.566,""
"201905","Ferries","NWFF","",174.854,""
"201906","Fran_Bus","KMB","",8522.138,""
"201906","Fran_Bus","CTB","1",4253.914,""
"201906","Fran_Bus","CTB","2",534.256,""
"201906","Fran_Bus","NWFB","",4727.775,""
"201906","Railways","MTRC","",36421.026,""
"201906","Ferries","NWFF","",175.773,""
"201906","Ferries","STF","",1534.722,""
"201906","Ferries","LFS","",91.693,""
"201907","Ferries","STF","",1533.489,""
"201907","Ferries","NWFF","",173.149,""
"201907","Railways","MTRC","",36938.384,""
"201907","Fran_Bus","NWFB","",4934.353,""
"201907","Fran_Bus","CTB","2",555.497,""
"201907","Fran_Bus","CTB","1",4522.257,""
"201907","Fran_Bus","KMB","",9059.436,""
"201907","Ferries","LFS","",95.052,""
"201908","Fran_Bus","KMB","",8716.215,""
"201908","Fran_Bus","CTB","1",4418.129,""
"201908","Ferries","LFS","",109.275,""
"201908","Ferries","STF","",1195.025,""
"201908","Ferries","NWFF","",176.054,""
"201908","Railways","MTRC","",34473.642,""
"201908","Fran_Bus","NWFB","",4724.215,""
"201908","Fran_Bus","CTB","2",502.676,""
"201909","Fran_Bus","KMB","",9071.433,""
"201909","Ferries","STF","",1112.954,""
"201909","Ferries","NWFF","",180.28,""
"201909","Railways","MTRC","",32270.383,""
"201909","Fran_Bus","NWFB","",5065.8,""
"201909","Fran_Bus","CTB","2",458.051,""
"201909","Fran_Bus","CTB","1",4574.728,""
"201909","Ferries","LFS","",111.898,""
"201910","Ferries","STF","",1354.938,""
"201910","Ferries","NWFF","",214.816,""
"201910","Railways","MTRC","",28515.521,""
"201910","Fran_Bus","NWFB","",5433.987,""
"201910","Fran_Bus","CTB","2",547.65,""
"201910","Fran_Bus","CTB","1",5058.424,""
"201910","Fran_Bus","KMB","",9750.469,""
"201910","Ferries","LFS","",151.082,""
"201911","Ferries","LFS","",224.97,""
"201911","Ferries","STF","",1323.716,""
"201911","Ferries","NWFF","",406.912,""
"201911","Railways","MTRC","",30210.698,""
"201911","Fran_Bus","NWFB","",3674.298,""
"201911","Fran_Bus","CTB","2",491.08,""
"201911","Fran_Bus","KMB","",6389.261,""
"201911","Fran_Bus","CTB","1",3792.101,""
"201912","Fran_Bus","KMB","",9066.284,""
"201912","Fran_Bus","CTB","1",4699.964,""
"201912","Fran_Bus","CTB","2",543.343,""
"201912","Fran_Bus","NWFB","",4887.732,""
"201912","Railways","MTRC","",32448.576,""
"201912","Ferries","NWFF","",221.991,""
"201912","Ferries","STF","",1368.726,""
"201912","Ferries","LFS","",130.398,""
"202001","Fran_Bus","KMB","",8361.084,""
"202001","Fran_Bus","CTB","1",4376.292,""
"202001","Fran_Bus","CTB","2",476.808,""
"202001","Fran_Bus","NWFB","",4682.214,""
"202001","Railways","MTRC","",29922.053,""
"202001","Ferries","NWFF","",202.494,""
"202001","Ferries","STF","",1186.679,""
"202001","Ferries","LFS","",117.777,""
"202002","Ferries","LFS","",92.793,""
"202002","Ferries","STF","",567.705,""
"202002","Ferries","NWFF","",122.664,""
"202002","Railways","MTRC","",17998.593,""
"202002","Fran_Bus","NWFB","",3058.854,""
"202002","Fran_Bus","CTB","2",257.549,""
"202002","Fran_Bus","KMB","",5346.948,""
"202002","Fran_Bus","CTB","1",2953.995,""
"202003","Fran_Bus","KMB","",6112.163,""
"202003","Fran_Bus","CTB","1",3449.459,""
"202003","Fran_Bus","CTB","2",239.044,""
"202003","Fran_Bus","NWFB","",3539.128,""
"202003","Railways","MTRC","",21318.455,""
"202003","Ferries","NWFF","",145.448,""
"202003","Ferries","STF","",630.134,""
"202003","Ferries","LFS","",110.313,""
"202004","Ferries","LFS","",101.893,""
"202004","Ferries","STF","",583.237,""
"202004","Ferries","NWFF","",133.905,""
"202004","Railways","MTRC","",18165.293,""
"202004","Fran_Bus","NWFB","",3118.466,""
"202004","Fran_Bus","CTB","2",149.801,""
"202004","Fran_Bus","KMB","",5427.544,""
"202004","Fran_Bus","CTB","1",3047.132,""
"202005","Fran_Bus","KMB","",7255.485,""
"202005","Fran_Bus","CTB","1",3713.79,""
"202005","Fran_Bus","CTB","2",181.251,""
"202005","Fran_Bus","NWFB","",3804.113,""
"202005","Railways","MTRC","",24542.14,""
"202005","Ferries","NWFF","",174.171,""
"202005","Ferries","STF","",748.004,""
"202005","Ferries","LFS","",119.17,""
"202006","Ferries","STF","",745.331,""
"202006","Fran_Bus","CTB","1",3996.213,""
"202006","Ferries","NWFF","",176.981,""
"202006","Fran_Bus","KMB","",7872.331,""
"202006","Ferries","LFS","",121.56,""
"202006","Fran_Bus","CTB","2",198.369,""
"202006","Fran_Bus","NWFB","",4175.847,""
"202006","Railways","MTRC","",27679.629,""
"202007","Ferries","NWFF","",149.122,""
"202007","Railways","MTRC","",23183.628,""
"202007","Fran_Bus","NWFB","",3541.934,""
"202007","Fran_Bus","CTB","1",3394.793,""
"202007","Fran_Bus","CTB","2",171.263,""
"202007","Ferries","STF","",568.804,""
"202007","Ferries","LFS","",126.318,""
"202007","Fran_Bus","KMB","",6604.915,""
"202008","Ferries","LFS","",99.34,""
"202008","Ferries","STF","",490.879,""
"202008","Ferries","NWFF","",125.309,""
"202008","Railways","MTRC","",19348.852,""
"202008","Fran_Bus","NWFB","",3139.356,""
"202008","Fran_Bus","CTB","2",149.292,""
"202008","Fran_Bus","KMB","",5629.909,""
"202008","Fran_Bus","CTB","1",2901.079,""
"202009","Ferries","LFS","",115.803,""
"202009","Ferries","STF","",602.743,""
"202009","Fran_Bus","CTB","1",3624,""
"202009","Railways","MTRC","",25505.374,""
"202009","Fran_Bus","NWFB","",3826.566,""
"202009","Fran_Bus","CTB","2",179.252,""
"202009","Ferries","NWFF","",153.286,""
"202009","Fran_Bus","KMB","",6997.851,""
"202010","Fran_Bus","CTB","1",3911.737,""
"202010","Fran_Bus","CTB","2",190.173,""
"202010","Fran_Bus","NWFB","",4177.505,""
"202010","Railways","MTRC","",28132.073,""
"202010","Ferries","NWFF","",180.23,""
"202010","Ferries","STF","",809.246,""
"202010","Fran_Bus","KMB","",7578.566,""
"202010","Ferries","LFS","",137.549,""
"202011","Ferries","LFS","",139.179,""
"202011","Ferries","STF","",809.294,""
"202011","Railways","MTRC","",28675.946,""
"202011","Fran_Bus","NWFB","",4282.167,""
"202011","Fran_Bus","CTB","2",196.119,""
"202011","Fran_Bus","CTB","1",3995.24,""
"202011","Fran_Bus","KMB","",7769.822,""
"202011","Ferries","NWFF","",182.93,""
"202012","Fran_Bus","KMB","",6476.01,""
"202012","Fran_Bus","CTB","1",3312.269,""
"202012","Fran_Bus","CTB","2",165.782,""
"202012","Fran_Bus","NWFB","",3494.505,""
"202012","Railways","MTRC","",22831.244,""
"202012","Ferries","NWFF","",149.688,""
"202012","Ferries","STF","",786.886,""
"202012","Ferries","LFS","",117.277,""
"202101","Fran_Bus","KMB","",6575.613,""
"202101","Fran_Bus","CTB","1",3335.163,""
"202101","Ferries","LFS","",118.584,""
"202101","Ferries","STF","",628.757,""
"202101","Ferries","NWFF","",149.377,""
"202101","Railways","MTRC","",23030.527,""
"202101","Fran_Bus","NWFB","",3415.177,""
"202101","Fran_Bus","CTB","2",156.829,""
"202102","Fran_Bus","CTB","1",3250.396,""
"202102","Ferries","LFS","",118.008,""
"202102","Ferries","STF","",706.95,""
"202102","Ferries","NWFF","",147.118,""
"202102","Railways","MTRC","",22494.489,""
"202102","Fran_Bus","NWFB","",3329.168,""
"202102","Fran_Bus","CTB","2",145.685,""
"202102","Fran_Bus","KMB","",6244.882,""
"202103","Ferries","LFS","",135.108,""
"202103","Ferries","STF","",756.789,""
"202103","Ferries","NWFF","",175.649,""
"202103","Railways","MTRC","",28512.449,""
"202103","Fran_Bus","NWFB","",4278.78,""
"202103","Fran_Bus","CTB","2",178.377,""
"202103","Fran_Bus","CTB","1",4077.678,""
"202103","Fran_Bus","KMB","",7817.432,""
"202104","Fran_Bus","CTB","1",3989.096,""
"202104","Fran_Bus","KMB","",7769.08,""
"202104","Fran_Bus","CTB","2",177.85,""
"202104","Fran_Bus","NWFB","",4190.443,""
"202104","Railways","MTRC","",27568.728,""
"202104","Ferries","NWFF","",170.912,""
"202104","Ferries","STF","",837.802,""
"202104","Ferries","LFS","",138.942,""
"202105","Fran_Bus","CTB","2",184.435,""
"202105","Ferries","LFS","",131.035,""
"202105","Ferries","STF","",730.852,""
"202105","Ferries","NWFF","",169.731,""
"202105","Fran_Bus","KMB","",8073.406,""
"202105","Fran_Bus","CTB","1",4137.151,""
"202105","Railways","MTRC","",28784.621,""
"202105","Fran_Bus","NWFB","",4365.268,""
"202106","Railways","MTRC","",29149.769,""
"202106","Ferries","NWFF","",159.996,""
"202106","Ferries","STF","",723.157,""
"202106","Ferries","LFS","",118.634,""
"202106","Fran_Bus","CTB","2",185.014,""
"202106","Fran_Bus","NWFB","",4214.359,""
"202106","Fran_Bus","KMB","",7850.355,""
"202106","Fran_Bus","CTB","1",4007.562,""
"202107","Fran_Bus","KMB","",8148.607,""
"202107","Fran_Bus","CTB","1",4229.905,""
"202107","Fran_Bus","CTB","2",194.171,""
"202107","Fran_Bus","NWFB","",4297.156,""
"202107","Railways","MTRC","",30936.307,""
"202107","Ferries","NWFF","",153.749,""
"202107","Ferries","STF","",852.678,""
"202107","Ferries","LFS","",122.232,""
"202108","Ferries","STF","",869.304,""
"202108","Ferries","NWFF","",152.75,""
"202108","Railways","MTRC","",31379.347,""
"202108","Fran_Bus","NWFB","",4336.931,""
"202108","Fran_Bus","CTB","2",199.926,""
"202108","Fran_Bus","CTB","1",4298.686,""
"202108","Fran_Bus","KMB","",8244.062,""
"202108","Ferries","LFS","",126.177,""
"202109","Fran_Bus","NWFB","",4379.459,""
"202109","Ferries","LFS","",124.342,""
"202109","Ferries","STF","",722.549,""
"202109","Ferries","NWFF","",153.763,""
"202109","Railways","MTRC","",31040.329,""
"202109","Fran_Bus","CTB","2",190.148,""
"202109","Fran_Bus","CTB","1",4194.64,""
"202109","Fran_Bus","KMB","",8164.049,""
"202110","Ferries","LFS","",112.238,""
"202110","Ferries","STF","",746.647,""
"202110","Ferries","NWFF","",146.991,""
"202110","Railways","MTRC","",29841.871,""
"202110","Fran_Bus","NWFB","",4100.05,""
"202110","Fran_Bus","CTB","2",174.404,""
"202110","Fran_Bus","CTB","1",3895.752,""
"202110","Fran_Bus","KMB","",7616.157,""
"202111","Fran_Bus","CTB","1",4341.322,""
"202111","Fran_Bus","KMB","",8496.461,""
"202111","Fran_Bus","CTB","2",199.496,""
"202111","Fran_Bus","NWFB","",4539.689,""
"202111","Railways","MTRC","",32057.85,""
"202111","Ferries","NWFF","",167.22,""
"202111","Ferries","STF","",849.116,""
"202111","Ferries","LFS","",139.281,""
"202112","Ferries","STF","",1153.236,""
"202112","Ferries","NWFF","",168.613,""
"202112","Railways","MTRC","",33080.644,""
"202112","Ferries","LFS","",137.429,""
"202112","Fran_Bus","NWFB","",4686.799,""
"202112","Fran_Bus","CTB","2",214.503,""
"202112","Fran_Bus","CTB","1",4555.309,""
"202112","Fran_Bus","KMB","",8722.943,""
"202201","Fran_Bus","CTB","2",170.4,""
"202201","Fran_Bus","CTB","1",3576.183,""
"202201","Ferries","LFS","",109.875,""
"202201","Ferries","STF","",641.848,""
"202201","Ferries","NWFF","",142.29,""
"202201","Railways","MTRC","",26060.098,""
"202201","Fran_Bus","NWFB","",3859.347,""
"202201","Fran_Bus","KMB","",7225.17,""
"202202","Fran_Bus","KMB","",4312.5,""
"202202","Ferries","STF","",381.494,""
"202202","Ferries","NWFF","",80.261,""
"202202","Railways","MTRC","",14534.835,""
"202202","Fran_Bus","NWFB","",2264.064,""
"202202","Fran_Bus","CTB","2",107.356,""
"202202","Fran_Bus","CTB","1",2108.52,""
"202202","Ferries","LFS","",61.969,""
"202203","Fran_Bus","CTB","2",111.463,""
"202203","Fran_Bus","CTB","1",2180.029,""
"202203","Fran_Bus","KMB","",4689.344,""
"202203","Fran_Bus","NWFB","",2357.266,""
"202203","Ferries","LFS","",29.482,""
"202203","Ferries","STF","",331.547,""
"202203","Ferries","NWFF","",3.746,""
"202203","Railways","MTRC","",14837.136,""
"202204","Fran_Bus","KMB","",6510.41,""
"202204","Fran_Bus","CTB","1",3091.388,""
"202204","Ferries","LFS","",68.624,""
"202204","Ferries","STF","",654.57,""
"202204","Ferries","NWFF","",89.446,""
"202204","Railways","MTRC","",21086.295,""
"202204","Fran_Bus","NWFB","",3227.999,""
"202204","Fran_Bus","CTB","2",143.899,""
"202205","Fran_Bus","KMB","",7498.999,""
"202205","Fran_Bus","NWFB","",3725.326,""
"202205","Railways","MTRC","",29035.153,""
"202205","Ferries","NWFF","",131.905,""
"202205","Ferries","STF","",652.939,""
"202205","Fran_Bus","CTB","2",171.905,""
"202205","Fran_Bus","CTB","1",3599.153,""
"202205","Ferries","LFS","",92.903,""
"202206","Fran_Bus","KMB","",7128.878,""
"202206","Fran_Bus","CTB","1",3486.1,""
"202206","Fran_Bus","CTB","2",177.516,""
"202206","Fran_Bus","NWFB","",3657.095,""
"202206","Railways","MTRC","",30603.561,""
"202206","Ferries","NWFF","",125.688,""
"202206","Ferries","STF","",580.518,""
"202206","Ferries","LFS","",92.56,""
"202207","Ferries","STF","",693.45,""
"202207","Ferries","NWFF","",118.268,""
"202207","Ferries","LFS","",88.201,""
"202207","Fran_Bus","KMB","",7109.532,""
"202207","Fran_Bus","CTB","1",3520.935,""
"202207","Fran_Bus","CTB","2",180.924,""
"202207","Fran_Bus","NWFB","",3646.622,""
"202207","Railways","MTRC","",31203.94,""
"202208","Fran_Bus","KMB","",7233.997,""
"202208","Ferries","STF","",618.253,""
"202208","Ferries","NWFF","",115.699,""
"202208","Railways","MTRC","",32580.84,""
"202208","Fran_Bus","NWFB","",3732.161,""
"202208","Fran_Bus","CTB","2",188.323,""
"202208","Fran_Bus","CTB","1",3644.626,""
"202208","Ferries","LFS","",91.476,""
"202209","Ferries","STF","",612.192,""
"202209","Ferries","NWFF","",117.902,""
"202209","Railways","MTRC","",31849.386,""
"202209","Fran_Bus","NWFB","",3776.452,""
"202209","Fran_Bus","CTB","2",195.974,""
"202209","Fran_Bus","CTB","1",3621.464,""
"202209","Fran_Bus","KMB","",7191.984,""
"202209","Ferries","LFS","",88.493,""
"202210","Fran_Bus","CTB","2",222.654,""
"202210","Fran_Bus","CTB","1",3803.297,""
"202210","Fran_Bus","KMB","",7473.03,""
"202210","Fran_Bus","NWFB","",3971.655,""
"202210","Railways","MTRC","",33029.048,""
"202210","Ferries","NWFF","",130.23,""
"202210","Ferries","STF","",717.569,""
"202210","Ferries","LFS","",99.874,""
"202211","Fran_Bus","CTB","2",226.735,""
"202211","Fran_Bus","CTB","1",3687.56,""
"202211","Fran_Bus","KMB","",7221.249,""
"202211","Fran_Bus","NWFB","",3817.151,""
"202211","Ferries","LFS","",92.069,""
"202211","Ferries","STF","",676.257,""
"202211","Ferries","NWFF","",126.438,""
"202211","Railways","MTRC","",32452.6,""
"202212","Fran_Bus","KMB","",7393.467,""
"202212","Fran_Bus","CTB","1",3770.797,""
"202212","Fran_Bus","CTB","2",250.161,""
"202212","Ferries","STF","",952.685,""
"202212","Ferries","NWFF","",122.655,""
"202212","Railways","MTRC","",32870.919,""
"202212","Fran_Bus","NWFB","",3848.084,""
"202212","Ferries","LFS","",88.519,""
"202301","Fran_Bus","KMB","",6912.34,""
"202301","Fran_Bus","CTB","1",3600.411,""
"202301","Fran_Bus","CTB","2",296.857,""
"202301","Fran_Bus","NWFB","",3704.01,""
"202301","Railways","MTRC","",31489.677,""
"202301","Ferries","NWFF","",123.297,""
"202301","Ferries","STF","",873.45,""
"202301","Ferries","LFS","",88.717,""
"202302","Fran_Bus","KMB","",6938.749,""
"202302","Fran_Bus","CTB","1",3581.405,""
"202302","Ferries","LFS","",88.081,""
"202302","Ferries","STF","",857.896,""
"202302","Ferries","NWFF","",121.889,""
"202302","Railways","MTRC","",32703.857,""
"202302","Fran_Bus","NWFB","",3686.56,""
"202302","Fran_Bus","CTB","2",330.655,""
"202303","Fran_Bus","CTB","1",4053.15,""
"202303","Fran_Bus","CTB","2",394.926,""
"202303","Fran_Bus","NWFB","",4153.987,""
"202303","Railways","MTRC","",37084.313,""
"202303","Ferries","NWFF","",135.072,""
"202303","Ferries","STF","",1201.732,""
"202303","Ferries","LFS","",100.523,""
"202303","Fran_Bus","KMB","",7840.958,""
"202304","Fran_Bus","CTB","1",3541.729,""
"202304","Fran_Bus","CTB","2",399.809,""
"202304","Fran_Bus","NWFB","",3699.941,""
"202304","Railways","MTRC","",32679.44,""
"202304","Ferries","NWFF","",114.803,""
"202304","Ferries","STF","",1316.199,""
"202304","Ferries","LFS","",87.022,""
"202304","Fran_Bus","KMB","",6804.586,""
"202305","Ferries","STF","",1207.916,""
"202305","Ferries","LFS","",90.31,""
"202305","Ferries","NWFF","",121.014,""
"202305","Railways","MTRC","",34815.666,""
"202305","Fran_Bus","NWFB","",3854.957,""
"202305","Fran_Bus","CTB","2",404.771,""
"202305","Fran_Bus","CTB","1",3739.993,""
"202305","Fran_Bus","KMB","",7267.205,""
"202306","Fran_Bus","CTB","1",3651.833,""
"202306","Fran_Bus","CTB","2",407.094,""
"202306","Fran_Bus","NWFB","",3746.288,""
"202306","Railways","MTRC","",34447.853,""
"202306","Ferries","NWFF","",111.43,""
"202306","Fran_Bus","KMB","",7113.618,""
"202306","Ferries","LFS","",80.435,""
"202306","Ferries","STF","",1147.724,""
"202307","Fran_Bus","KMB","",7138.674,""
"202307","Fran_Bus","CTB","3",7422.025,""
"202307","Fran_Bus","CTB","2",450.415,""
"202307","Railways","MTRC","",35807.897,""
"202307","Ferries","STF","",1516.553,""
"202307","Ferries","NWFF","",110.488,""
"202307","Ferries","LFS","",77.678,""
"202308","Fran_Bus","KMB","",7437.966,""
"202308","Fran_Bus","CTB","3",7781.929,""
"202308","Fran_Bus","CTB","2",469.987,""
"202308","Railways","MTRC","",37575.072,""
"202308","Ferries","NWFF","",115.451,""
"202308","Ferries","STF","",1655.942,""
"202308","Ferries","LFS","",87.016,""
